Type,Date,Time,Event,Option1,Ratio1,Option2,Ratio2,Option3,Ratio3
Soccer,09.09,15:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הקירפא תופילא תומדקומ ,מוזמביק,2.25,‫X,2.60,בנין,2.35
Soccer,09.09,15:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הקירפא תופילא תומדקומ ,מלאווי,2.70,‫X,2.65,גיניאה,1.95
Soccer,09.09,18:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הקירפא תופילא תומדקומ ,מאוריטניה,2.10,‫X,2.60,גאבון,2.60
Soccer,09.09,18:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הקירפא תופילא תומדקומ ,הרפובליקה הדמוקרטית של קונגו,1.35,‫X,3.15,סודאן,5.20
Soccer,09.09,18:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הקירפא תופילא תומדקומ ,חוף השנהב,1.10,‫X,4.40,לסוטו,10.00
Soccer,09.09,21:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הקירפא תופילא תומדקומ ,מרוקו,1.05,‫X,4.50,ליבריה,12.50
Soccer,09.09,21:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הקירפא תופילא תומדקומ ,קומורוס,2.80,‫X,2.70,זמביה,1.90
Soccer,09.09,21:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הקירפא תופילא תומדקומ ,סנגל,2.00,‫X,2.75,רואנדה,2.60
Soccer,09.09,14:34 ,(תוכראה אלל) םויס תאצות - 2X1 — ימואלניב תודידי ,סין,1.40,‫X,3.30,מלזיה,4.10
Soccer,09.09,15:59 ,(תוכראה אלל) םויס תאצות - 2X1 — ימואלניב תודידי ,דרום אפריקה,1.45,‫X,3.10,נמיביה,4.40
Soccer,09.09,21:44 ,(תוכראה אלל) םויס תאצות - 2X1 — ימואלניב תודידי ,גרמניה,1.35,‫X,3.55,יפן,4.50
Soccer,09.09,15:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הפוריא תופילא תומדקומ ,אזרבייג'ן,10.00,‫X,6.00,בלגיה,1.10
Soccer,09.09,18:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הפוריא תופילא תומדקומ ,אוקראינה,6.20,‫X,4.10,אנגליה,1.30
Soccer,09.09,18:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הפוריא תופילא תומדקומ ,אנדורה,4.10,‫X,2.60,בלארוס,1.85
Soccer,09.09,18:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הפוריא תופילא תומדקומ ,אסטוניה,7.80,‫X,4.60,שבדיה,1.20
Soccer,09.09,21:44 ,(תוכראה אלל) םויס תאצות - 2X1 — הפוריא תופילא תומדקומ ,מקדוניה הצפונית,7.00,‫X,5.00,איטליה,1.20
Soccer,09.09,21:44 ,(תוכראה אלל) םויס תאצות - 2X1 — הפוריא תופילא תומדקומ ,רומניה,1.85,‫X,3.10,ישראל,3.20
Soccer,09.09,21:44 ,(תוכראה אלל) םויס תאצות - 2X1 — הפוריא תופילא תומדקומ ,קוסובו,5.25,‫X,3.70,שווייץ,1.40
Soccer,09.09,22:29 ,(תוכראה אלל) םויס תאצות - 2X1 — הקירמא ןופצ - תומואה תגיל ,אנטיגואה,2.25,‫X,2.75,גויאנה,2.30
Soccer,09.09,17:14 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תידרפס ,בורגוס,2.45,‫X,2.50,אייבר,2.30
Soccer,09.09,19:29 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תידרפס ,אוביידו,1.95,‫X,2.50,ספורטינג גיחון,2.95
Soccer,09.09,21:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תידרפס ,לגאנס,1.95,‫X,2.55,הואסקה,2.90
Soccer,09.09,21:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תידרפס ,טנריפה,1.85,‫X,2.65,אלבסטה,3.00
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — תיעיבר תידרפס ,ראסינג קלאב ויאלבס,3.65,‫X,2.75,ריאל אבילס,1.60
Soccer,09.09,17:59 ,(תוכראה אלל) םויס תאצות - 2X1 — תיעיבר תידרפס ,סן חואן,2.95,‫X,2.70,קלהורה,1.85
Soccer,09.09,18:59 ,(תוכראה אלל) םויס תאצות - 2X1 — תיעיבר תידרפס ,ריאל ויאדוליד ב',2.70,‫X,2.70,פונטוורדה,2.00
Soccer,09.09,18:59 ,(תוכראה אלל) םויס תאצות - 2X1 — תיעיבר תידרפס ,קאיון,2.70,‫X,2.65,גויחואלו,2.00
Soccer,09.09,18:59 ,(תוכראה אלל) םויס תאצות - 2X1 — תיעיבר תידרפס ,אגואס,2.60,‫X,2.60,סוסיאדד דפורטיבה גרניקה,2.10
Soccer,09.09,19:29 ,(תוכראה אלל) םויס תאצות - 2X1 — תיעיבר תידרפס ,אתלטיק בילבאו ב',1.40,‫X,3.05,יוטבו,5.00
Soccer,09.09,19:29 ,(תוכראה אלל) םויס תאצות - 2X1 — תיעיבר תידרפס ,ברבסטרו,3.25,‫X,2.65,לוגרונייס,1.80
Soccer,09.09,19:59 ,(תוכראה אלל) םויס תאצות - 2X1 — תיעיבר תידרפס ,ארנס קלאב דה גטקסו,2.70,‫X,2.65,ברקלדו,1.95
Soccer,09.09,19:59 ,(תוכראה אלל) םויס תאצות - 2X1 — תיעיבר תידרפס ,מנרסה,2.30,‫X,2.60,ולנסיה מסטאייה,2.30
Soccer,09.09,20:29 ,(תוכראה אלל) םויס תאצות - 2X1 — תיעיבר תידרפס ,מוטילברה,2.55,‫X,2.75,טודלנו,2.05
Soccer,09.09,18:59 ,(תוכראה אלל) םויס תאצות - 2X1 — תישילש תידרפס ,קלאב רקראטיבו גרנאדה,2.15,‫X,2.60,אלגסיראס,2.45
Soccer,09.09,20:29 ,(תוכראה אלל) םויס תאצות - 2X1 — תישילש תידרפס ,פונפרדינה,1.70,‫X,2.75,סאבדל,3.30
Soccer,09.09,20:29 ,(תוכראה אלל) םויס תאצות - 2X1 — תישילש תידרפס ,טרזונה,3.00,‫X,2.70,קולטורל לאונסה,1.85
